iter	RMSE
293	0.06462560546
294	0.06442911819
295	0.06434036843
296	0.06420883372
297	0.06403443329
298	0.06386106208
299	0.06374294413
300	0.06360902775
301	0.0635045887
302	0.06338508435
303	0.06336851679
304	0.06327516648
305	0.06326090057
306	0.06304166619
307	0.0629669334
308	0.06295089917
309	0.06289527499
310	0.06287979026
311	0.06270330845
312	0.06261574698
313	0.06257915535
314	0.06247197974
315	0.06229358125
316	0.06217856451
317	0.06207447783
318	0.06195883924
319	0.06194623747
320	0.06186257596
321	0.06179117283
322	0.06174847673
323	0.06171777374
324	0.06161218285
325	0.0615292518
326	0.06137397065
327	0.06128933377
328	0.06112349641
329	0.06100986096
330	0.0609660372
331	0.06095025467
332	0.06093554864
333	0.06070442499
334	0.06069407671
335	0.06057891066
336	0.060473757
337	0.06037087742
338	0.06035164722
339	0.06027070227
340	0.06017658728
341	0.06008578245
342	0.0599733288
343	0.05993015571
344	0.0598730713
345	0.05978593151
346	0.05969890223
347	0.05954472843
348	0.0594545943
349	0.05944378923
350	0.05943392733
351	0.05933610606
352	0.05925684115
353	0.05915541376
354	0.0590994971
355	0.05893955553
356	0.05888592241
357	0.05880766575
358	0.05864185261
359	0.05852043708
360	0.05847000436
361	0.05840897836
362	0.05839775797
363	0.05823389366
364	0.0581931039
365	0.05816829547
366	0.05810430079
367	0.05801737527
368	0.0579043758
369	0.05789471241
370	0.05778101725
371	0.05775006599
372	0.05763968772
373	0.05747193953
374	0.05743554553
375	0.05727687971
376	0.05716745749
377	0.0570566288
378	0.05695287206
379	0.05691033783
380	0.05684220602
381	0.0567065004
382	0.05669660715
383	0.05668855615
384	0.05656791794
385	0.05644422937
386	0.05632752201
387	0.05619519323
388	0.05610292173
389	0.05602015327
390	0.05591513193
391	0.05585395441
392	0.05581813967
393	0.05580924143
394	0.05568502771
395	0.05558609408
396	0.05551829538
397	0.0554242328
398	0.05530809666
399	0.05525810245
400	0.05513840166
401	0.0550466757
402	0.05498479728
403	0.05497621065
404	0.05488945791
405	0.05478517422
406	0.05471757994
407	0.05470815013
408	0.05462554198
409	0.0546190666
410	0.05459794848
411	0.05455988863
412	0.05448721574
413	0.05439443845
414	0.05430594935
415	0.05422524892
416	0.05413315721
417	0.05405820237
418	0.05401548928
419	0.05395347218
420	0.05385757677
421	0.05376574293
422	0.0536143985
423	0.0535641817
424	0.05350333064
425	0.05337826358
426	0.05323617485
427	0.05311730033
428	0.05298405272
429	0.05297605165
430	0.05280229745
431	0.05267313643
432	0.05265782356
433	0.0525912338
434	0.05254368243
435	0.05245055575
436	0.05234907685
437	0.05231379877
438	0.05222864682
439	0.05214904068
440	0.05208179236
441	0.05203086545
442	0.0520239653
443	0.05197337166
444	0.05193749644
445	0.05179656027
446	0.05171637466
447	0.05151090768
448	0.05146748495
449	0.05145996628
450	0.05136010047
451	0.05125368538
452	0.05115069992
453	0.05111151957
454	0.05110462971
455	0.05100992702
456	0.05097545406
457	0.05087918001
458	0.05076408126
459	0.05061519596
460	0.05052055453
461	0.05046956316
462	0.0504618484
463	0.0503800199
464	0.05037263376
465	0.0502978438
466	0.05017807526
467	0.0501361284
468	0.0501304929
469	0.04997356552
470	0.04996725152
471	0.04993127093
472	0.04979499697
473	0.04973679275
474	0.04973138305
475	0.04965903958
476	0.04962611917
477	0.0495717694
478	0.04942699788
479	0.04931391951
480	0.0493093614
481	0.04919828226
482	0.04913548491
483	0.04913004303
484	0.04907638535
485	0.04900094523
486	0.04886104709
487	0.04880784475
488	0.04870343854
489	0.04862560913
490	0.04848449978
491	0.04845037685
492	0.04844499442
493	0.04835060265
494	0.04823505114
495	0.04809074506
496	0.04805000286
497	0.04800306524
498	0.04790903788
499	0.04785062667
